ticker,date,open,high,low,close,volume,adj_close
META,2021-09-30,340.45001220703125,342.79998779296875,338.1499938964844,339.3900146484375,16547100,339.3900146484375
META,2021-10-01,341.6099853515625,345.0199890136719,338.6400146484375,343.010009765625,14905300,343.010009765625
META,2021-10-04,335.5299987792969,335.94000244140625,322.70001220703125,326.2300109863281,42885000,326.2300109863281
META,2021-10-05,328.5799865722656,335.17999267578125,326.1600036621094,332.9599914550781,35377900,332.9599914550781
META,2021-10-06,329.739990234375,334.3800048828125,325.79998779296875,333.6400146484375,26443000,333.6400146484375
META,2021-10-07,337.0,338.8399963378906,328.9800109863281,329.2200012207031,28307500,329.2200012207031
META,2021-10-08,331.510009765625,333.3999938964844,328.7099914550781,330.04998779296875,15946100,330.04998779296875
META,2021-10-11,327.6300048828125,330.4599914550781,325.3099975585937,325.45001220703125,14708200,325.45001220703125
META,2021-10-12,323.0299987792969,324.3800048828125,317.3699951171875,323.7699890136719,31658700,323.7699890136719
META,2021-10-13,326.9700012207031,327.0,322.6600036621094,324.5400085449219,14761500,324.5400085449219
META,2021-10-14,328.3599853515625,330.5199890136719,327.1000061035156,328.5299987792969,14302200,328.5299987792969
META,2021-10-15,328.67999267578125,329.07000732421875,322.510009765625,324.760009765625,21596400,324.760009765625
META,2021-10-18,328.95001220703125,335.8900146484375,327.5,335.3399963378906,21585000,335.3399963378906
META,2021-10-19,339.6499938964844,342.4599914550781,337.2799987792969,339.989990234375,18786300,339.989990234375
META,2021-10-20,343.45001220703125,343.9800109863281,339.45001220703125,340.7799987792969,13639500,340.7799987792969
META,2021-10-21,340.2799987792969,342.3099975585937,337.79998779296875,341.8800048828125,16354400,341.8800048828125
META,2021-10-22,326.3500061035156,329.6300048828125,321.1099853515625,324.6099853515625,35224500,324.6099853515625
META,2021-10-25,320.29998779296875,329.5599975585937,319.7200012207031,328.69000244140625,38409000,328.69000244140625
META,2021-10-26,328.260009765625,330.2099914550781,309.6000061035156,315.8099975585937,65654000,315.8099975585937
META,2021-10-27,314.19000244140625,319.25,312.0599975585937,312.2200012207031,29971800,312.2200012207031
META,2021-10-28,312.989990234375,325.5199890136719,308.1099853515625,316.9200134277344,50806800,316.9200134277344
META,2021-10-29,320.19000244140625,326.0,319.6000061035156,323.57000732421875,37059400,323.57000732421875
META,2021-11-01,326.0400085449219,333.45001220703125,326.0,329.9800109863281,31518900,329.9800109863281
META,2021-11-02,331.3800048828125,334.7900085449219,323.79998779296875,328.0799865722656,28353000,328.0799865722656
